sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.0812612,,,,,,28-38-28,post,0.0266935,,,,
28-38-28,pre,0.0339589,,,,,,28-38-28,post,0.0479464,,,,
28-38-28,pre,0.0390251,,,,,,28-38-28,post,0.0424858,,,,
28-38-28,pre,0.141241,,,,,,28-38-28,post,0.0465208,,,,
28-38-28,pre,0.0920129,,,,,,28-38-28,post,0.162038,,,,
28-38-28,pre,0.0684125,,,,,,28-38-28,post,0.0848999,,,,
28-38-28,pre,0.0605675,,,,,,28-38-28,post,0.0290344,,,,
28-38-28,pre,0.0276934,,,,,,28-38-28,post,0.0663959,,,,
28-38-28,pre,0.0246945,,,,,,28-38-28,post,0.0810305,,,,
28-38-28,pre,0.0429514,,,,,,28-38-28,post,0.0234343,,,,
28-38-28,pre,0.207441,,,,,,28-38-28,post,0.0527622,,,,
28-38-28,pre,0.0333925,,,,,,28-38-28,post,0.0420369,,,,
28-38-28,pre,0.0398919,,,,,,28-38-28,post,0.147571,,,,
28-38-28,pre,0.043268,,,,,,28-38-28,post,0.0704515,,,,
28-38-28,pre,0.0494733,,,,,,28-38-28,post,0.0331985,,,,
28-38-28,pre,0.0470358,,,,,,28-38-28,post,0.0359234,,,,
28-38-28,pre,0.103934,,,,,,28-38-28,post,0.0383268,,,,
28-38-28,pre,0.0595751,,,,,,28-38-28,post,0.0283781,,,,
28-38-28,pre,0.0377913,,,,,,28-38-28,post,0.0429322,,,,
28-38-28,pre,0.0332091,,,,,,28-38-28,post,0.0884819,,,,
28-38-28,pre,0.0344287,,,,,,28-38-28,post,0.0462359,,,,
28-38-28,pre,0.07246,,,,,,28-38-28,post,0.0206386,,,,
28-38-28,pre,0.0734836,,,,,,28-38-28,post,0.196231,,,,
28-38-28,pre,0.0943428,,,,,,28-38-28,post,0.123887,,,,
28-38-28,pre,0.0411401,,,,,,28-38-28,post,0.0872418,,,,
28-38-28,pre,0.0404148,,,,,,28-38-28,post,0.0576013,,,,
28-38-28,pre,0.0353349,,,,,,28-38-28,post,0.0397936,,,,
28-38-28,pre,0.0327585,,,,,,28-38-28,post,0.0241472,,,,
28-38-28,pre,0.0560802,,,,,,28-38-28,post,0.117843,,,,
28-38-28,pre,0.0808054,,,,,,28-38-28,post,0.259089,,,,
28-38-28,pre,0.0944543,,,,,,28-38-28,post,0.041046,,,,
28-38-28,pre,0.344169,,,,,,28-38-28,post,0.0823533,,,,
28-38-28,pre,0.117318,,,,,,28-38-28,post,0.0836856,,,,
28-38-28,pre,0.122492,,,,,,28-38-28,post,0.0249129,,,,
28-38-28,pre,0.0441818,,,,,,28-38-28,post,0.0606957,,,,
28-38-28,pre,0.040864,,,,,,28-38-28,post,0.0450178,,,,
28-38-28,pre,0.072047,,,,,,28-38-28,post,0.0198678,,,,
28-38-28,pre,0.0540699,,,,,,28-38-28,post,0.10078,,,,
28-38-28,pre,0.0575568,,,,,,28-38-28,post,0.179333,,,,
28-38-28,pre,0.035786,,,,,,28-38-28,post,0.0491952,,,,
28-38-28,pre,0.0333865,,,,,,28-38-28,post,0.039275,,,,
28-38-28,pre,0.103394,,,,,,28-38-28,post,0.0279122,,,,
28-38-28,pre,0.0240317,,,,,,28-38-28,post,0.116455,,,,
28-38-28,pre,0.0445814,,,,,,28-38-28,post,0.0241964,,,,
28-38-28,pre,0.107541,,,,,,28-38-28,post,0.0432235,,,,
28-38-28,pre,0.0332451,,,,,,28-38-28,post,0.0840034,,,,
28-38-28,pre,0.0548232,,,,,,28-38-28,post,0.0249098,,,,
