,site,top,bottom,moisture,ftc,length_3d_mm,width_3d_mm,area_3d_mm,vol_3d_mm,eq_diam_mm,eq_sa_mm,pore_shape_factor
200,tool,40,50,0.16,before,0.0679729,0.0247948,0.00361057,1.65E-05,0.0315744,0.003131988,0.867449731
201,tool,40,50,0.16,before,0.0739325,0.0247948,0.00372401,1.65E-05,0.0315744,0.003131988,0.841025661
202,tool,40,50,0.16,before,0.048338,0.0249226,0.00179807,7.69E-06,0.0244909,0.00188434,1.047979453
203,tool,40,50,0.16,before,0.066181,0.025111,0.0026001,1.10E-05,0.0275828,0.002390158,0.919256104
204,tool,40,50,0.16,before,0.0382029,0.0252274,0.00171428,7.69E-06,0.0244909,0.00188434,1.099202239
205,tool,40,50,0.16,before,0.0521343,0.0253593,0.00144234,5.49E-06,0.0218925,0.001505707,1.043933758
206,tool,40,50,0.16,before,0.0533976,0.0255482,0.00195963,7.69E-06,0.0244909,0.00188434,0.961579693
207,tool,40,50,0.16,before,0.0895606,0.0256858,0.00424877,1.87E-05,0.0329196,0.003404544,0.80130112
208,tool,40,50,0.16,before,0.106165,0.0261735,0.00530968,2.31E-05,0.0353219,0.003919566,0.738192516
209,tool,40,50,0.16,before,0.0884496,0.0263554,0.0049365,2.09E-05,0.034163,0.003666586,0.742750124
210,tool,40,50,0.16,before,0.0553211,0.0274318,0.00233745,9.89E-06,0.0266309,0.002228033,0.953189458
211,tool,40,50,0.16,before,0.0760434,0.0275625,0.00390837,1.76E-05,0.032261,0.003269682,0.836584573
212,tool,40,50,0.16,before,0.0896928,0.0276468,0.00345077,1.43E-05,0.0301037,0.002847014,0.825037357
213,tool,40,50,0.16,before,0.18391,0.0277462,0.0107187,4.61E-05,0.0445029,0.00622195,0.580476151
214,tool,40,50,0.16,before,0.0775809,0.0279503,0.00370664,1.54E-05,0.0308566,0.002991204,0.806985267
215,tool,40,50,0.16,before,0.0757967,0.0286538,0.00384504,1.65E-05,0.0315744,0.003131988,0.814552768
216,tool,40,50,0.16,before,0.0884126,0.0287524,0.00438081,1.76E-05,0.032261,0.003269682,0.746364725
217,tool,40,50,0.16,before,0.0538639,0.0290035,0.00200278,7.69E-06,0.0244909,0.00188434,0.940862408
218,tool,40,50,0.16,before,0.091048,0.0293625,0.00349001,1.43E-05,0.0301037,0.002847014,0.815761033
219,tool,40,50,0.16,before,0.114476,0.0296188,0.00401374,1.65E-05,0.0315744,0.003131988,0.780316606
220,tool,40,50,0.16,before,0.0783989,0.0297722,0.00476179,2.42E-05,0.0358739,0.004043031,0.849056948
221,tool,40,50,0.16,before,0.0718892,0.0298607,0.00315768,1.32E-05,0.0293111,0.00269907,0.854763543
222,tool,40,50,0.16,before,0.0660122,0.0303765,0.0024161,9.89E-06,0.0266309,0.002228033,0.922160796
223,tool,40,50,0.16,before,0.0870185,0.0305831,0.00445046,1.98E-05,0.0335528,0.003536775,0.794698708
224,tool,40,50,0.16,before,0.0751753,0.030644,0.00427203,1.87E-05,0.0329196,0.003404544,0.796938261
225,tool,40,50,0.16,before,0.0596696,0.031383,0.00422632,2.09E-05,0.034163,0.003666586,0.867559955
226,tool,40,50,0.16,before,0.0692161,0.0315154,0.00454006,2.09E-05,0.034163,0.003666586,0.807607386
227,tool,40,50,0.16,before,0.12733,0.0315263,0.0118225,5.93E-05,0.0483915,0.007356785,0.622269792
228,tool,40,50,0.16,before,0.152331,0.0317284,0.00637938,2.64E-05,0.0369297,0.004284513,0.671618978
229,tool,40,50,0.16,before,0.0553212,0.03183,0.00293373,1.43E-05,0.0301037,0.002847014,0.970441779
230,tool,40,50,0.16,before,0.104953,0.0320169,0.00545646,2.42E-05,0.0358739,0.004043031,0.740962251
231,tool,40,50,0.16,before,0.140332,0.0323969,0.00996555,4.72E-05,0.0448533,0.006320314,0.634216304
232,tool,40,50,0.16,before,0.0669704,0.0327183,0.00379283,1.76E-05,0.032261,0.003269682,0.862069233
233,tool,40,50,0.16,before,0.0657805,0.0330472,0.00406634,1.98E-05,0.0335528,0.003536775,0.869768591
234,tool,40,50,0.16,before,0.114077,0.0330655,0.00835358,4.29E-05,0.043417,0.005922015,0.708919398
235,tool,40,50,0.16,before,0.117063,0.0334785,0.0102336,5.16E-05,0.0462031,0.006706441,0.655335457
