site,sample,trmt,breadth_mm3,Pc
tool,41_50_16,before,0.0718537,-0.048300644
tool,41_50_16,before,0.0717831,-0.048296527
tool,28_38_12,before,0.0716463,-0.048288551
tool,41_50_28,before,0.0714565,-0.048277489
tool,41_50_16,before,0.0714039,-0.048274425
tool,28_38_12,before,0.0713574,-0.048271716
tool,28_38_28,before,0.0713392,-0.048270655
tool,40_50_16,before,0.071303,-0.048268547
tool,41_50_28,before,0.0711382,-0.04825895
tool,41_50_28,before,0.0711342,-0.048258717
tool,40_50_16,after,0.0711,-0.048256726
tool,41_50_28,before,0.0710668,-0.048254793
tool,41_50_28,before,0.0709744,-0.048249415
tool,40_50_16,before,0.070906,-0.048245434
tool,28_38_28,after,0.0708724,-0.048243479
tool,28_38_28,after,0.0707566,-0.048236742
tool,28_38_28,before,0.070739,-0.048235718
tool,41_50_16,before,0.0706672,-0.048231542
tool,28_38_28,after,0.0705735,-0.048226094
tool,41_50_16,before,0.0704804,-0.048220681
tool,41_50_28,before,0.0704593,-0.048219454
tool,28_38_28,after,0.0704515,-0.048219001
tool,40_50_16,before,0.0704447,-0.048218606
tool,28_38_28,after,0.0704284,-0.048217658
tool,40_50_16,before,0.0704202,-0.048217182
tool,41_50_28,before,0.0704119,-0.048216699
tool,41_50_16,before,0.0704046,-0.048216275
tool,41_50_28,before,0.0703773,-0.048214688
tool,41_50_16,before,0.0703652,-0.048213985
tool,40_50_16,before,0.0703405,-0.04821255
tool,40_50_16,after,0.0703,-0.048210196
tool,28_38_28,before,0.0701973,-0.04820423
tool,41_50_16,before,0.0701783,-0.048203126
tool,41_50_16,before,0.0700993,-0.048198537
tool,41_50_16,before,0.0700722,-0.048196964
tool,41_50_16,before,0.0700113,-0.048193427
tool,28_38_28,after,0.0700044,-0.048193027
tool,28_38_28,before,0.0699724,-0.048191169
tool,40_50_28,after,0.0698452,-0.048183785
tool,40_50_16,after,0.0698,-0.048181161
tool,41_50_28,before,0.0697669,-0.04817924
tool,28_38_28,after,0.0696741,-0.048173856
tool,28_38_28,after,0.0695763,-0.048168182
tool,28_38_28,after,0.0695399,-0.048166071
tool,41_50_28,before,0.0695094,-0.048164302
tool,41_50_16,before,0.0694163,-0.048158903
tool,40_50_16,before,0.0693802,-0.04815681
tool,41_50_16,before,0.0693455,-0.048154798
tool,40_50_16,before,0.0693367,-0.048154288
tool,28_38_28,after,0.0692179,-0.048147402
tool,41_50_28,before,0.0691778,-0.048145078
tool,41_50_28,before,0.0691755,-0.048144945
tool,40_50_16,before,0.0691122,-0.048141277
tool,28_38_28,after,0.0690247,-0.048136208
tool,41_50_28,before,0.0690114,-0.048135438
tool,41_50_16,before,0.0690043,-0.048135026
tool,41_50_16,before,0.0689826,-0.04813377
tool,28_38_28,after,0.0689721,-0.048133161
tool,41_50_16,before,0.068957,-0.048132287
tool,41_50_16,before,0.0689261,-0.048130497
tool,28_38_12,after,0.068896,-0.048128754
tool,41_50_28,before,0.0688622,-0.048126797
tool,28_38_28,after,0.0687946,-0.048122883
tool,28_38_28,before,0.0687761,-0.048121812
tool,41_50_28,before,0.0687099,-0.04811798
tool,41_50_16,after,0.0687077,-0.048117852
tool,28_38_28,after,0.068676,-0.048116017
tool,41_50_28,before,0.0686162,-0.048112556
tool,40_50_16,before,0.0685803,-0.048110479
tool,40_50_28,after,0.068579,-0.048110404
tool,41_50_16,before,0.0685709,-0.048109935
tool,28_38_28,after,0.0685356,-0.048107893
tool,28_38_12,before,0.0685088,-0.048106342
tool,41_50_16,before,0.0684762,-0.048104456
tool,40_50_16,before,0.0684146,-0.048100893
tool,28_38_28,before,0.0684125,-0.048100771
tool,28_38_28,after,0.0683884,-0.048099377
tool,41_50_16,before,0.0682904,-0.04809371
tool,41_50_16,before,0.0682718,-0.048092634
tool,40_50_16,after,0.0682,-0.048088483
tool,41_50_16,before,0.0681984,-0.04808839
tool,40_50_16,before,0.0681843,-0.048087575
tool,41_50_16,before,0.068173,-0.048086922
tool,28_38_12,before,0.0681601,-0.048086176
tool,41_50_16,before,0.0681141,-0.048083517
tool,28_38_28,after,0.0680387,-0.048079159
tool,41_50_16,after,0.0679993,-0.048076883
tool,28_38_12,before,0.0679091,-0.048071671
tool,28_38_28,after,0.0676874,-0.048058866
tool,28_38_12,after,0.0675337,-0.048049993
tool,41_50_16,before,0.0674228,-0.048043593
tool,28_38_12,after,0.0673676,-0.048040408
tool,40_50_16,before,0.0673621,-0.04804009
tool,41_50_16,before,0.0673333,-0.048038429
tool,28_38_28,before,0.0673161,-0.048037437
tool,40_50_28,before,0.0673147,-0.048037356
tool,41_50_16,before,0.0672599,-0.048034195
tool,41_50_16,before,0.0672515,-0.04803371
tool,41_50_16,before,0.0672294,-0.048032435
tool,41_50_16,before,0.0672003,-0.048030757
tool,40_50_28,after,0.0671676,-0.048028871
