site,sample,trmt,breadth_mm3,Pc
tool,41_50_28,before,0.117279,-0.051103778
tool,28_38_28,after,0.117244,-0.051101493
tool,41_50_28,before,0.117147,-0.051095161
tool,28_38_12,before,0.117132,-0.051094182
tool,28_38_12,before,0.117005,-0.051085895
tool,40_50_16,before,0.11667,-0.051064047
tool,41_50_16,before,0.116582,-0.051058311
tool,41_50_16,before,0.116457,-0.051050166
tool,28_38_28,after,0.116455,-0.051050035
tool,41_50_16,before,0.116422,-0.051047885
tool,41_50_28,before,0.116414,-0.051047364
tool,40_50_16,before,0.11634,-0.051042544
tool,41_50_16,before,0.116257,-0.051037138
tool,28_38_12,before,0.116198,-0.051033297
tool,28_38_28,after,0.115998,-0.051020278
tool,41_50_28,before,0.115854,-0.051010909
tool,41_50_16,before,0.115545,-0.050990815
tool,28_38_12,before,0.115366,-0.050979183
tool,28_38_28,before,0.115249,-0.050971582
tool,40_50_16,before,0.115083,-0.050960802
tool,41_50_16,before,0.115024,-0.050956972
tool,41_50_16,before,0.114616,-0.0509305
tool,41_50_16,before,0.1144,-0.050916497
tool,41_50_16,before,0.114296,-0.050909757
tool,28_38_28,after,0.113915,-0.050885082
tool,41_50_28,before,0.113682,-0.050870004
tool,41_50_16,after,0.113598,-0.050864571
tool,41_50_16,before,0.113526,-0.050859914
tool,28_38_28,after,0.11352,-0.050859526
tool,41_50_28,before,0.113409,-0.050852349
tool,28_38_12,before,0.113349,-0.05084847
tool,41_50_28,before,0.113327,-0.050847048
tool,28_38_28,after,0.113197,-0.050838647
tool,41_50_28,before,0.112975,-0.050824307
tool,28_38_12,before,0.112933,-0.050821595
tool,28_38_12,before,0.112792,-0.050812492
tool,41_50_16,before,0.112712,-0.050807328
tool,28_38_12,after,0.112496,-0.050793393
tool,41_50_16,after,0.112429,-0.050789072
tool,41_50_16,before,0.112332,-0.050782817
tool,28_38_28,after,0.11219,-0.050773664
tool,28_38_12,after,0.111956,-0.050758587
tool,40_50_16,before,0.111952,-0.050758329
tool,41_50_16,before,0.111931,-0.050756977
tool,41_50_16,before,0.111899,-0.050754916
tool,28_38_12,after,0.111703,-0.050742296
tool,40_50_28,before,0.111633,-0.050737791
tool,28_38_28,before,0.111466,-0.050727045
tool,41_50_16,before,0.111366,-0.050720613
tool,28_38_28,before,0.11125,-0.050713154
tool,40_50_16,after,0.1111,-0.050703511
tool,28_38_28,after,0.110939,-0.050693166
tool,40_50_16,before,0.110883,-0.050689568
tool,41_50_16,before,0.110843,-0.050686999
tool,40_50_16,before,0.110675,-0.050676211
tool,41_50_28,before,0.11033,-0.050654071
tool,41_50_28,before,0.110222,-0.050647144
tool,28_38_12,before,0.110201,-0.050645797
tool,28_38_28,before,0.109815,-0.050621057
tool,41_50_16,before,0.109815,-0.050621057
tool,40_50_28,after,0.109795,-0.050619776
tool,41_50_16,before,0.109767,-0.050617982
tool,41_50_16,before,0.109737,-0.050616061
tool,28_38_28,after,0.109611,-0.050607992
tool,41_50_28,before,0.109417,-0.050595573
tool,28_38_28,after,0.108924,-0.050564042
tool,28_38_28,before,0.108599,-0.050543277
tool,28_38_28,after,0.108342,-0.050526869
tool,28_38_12,before,0.1082,-0.050517808
tool,40_50_28,after,0.108194,-0.050517425
tool,28_38_12,after,0.108111,-0.05051213
tool,41_50_16,before,0.108027,-0.050506772
tool,41_50_16,before,0.107983,-0.050503966
tool,40_50_16,before,0.107946,-0.050501607
tool,40_50_16,after,0.1079,-0.050498674
tool,41_50_16,before,0.107856,-0.050495869
tool,41_50_16,before,0.107684,-0.050484908
tool,28_38_28,after,0.107666,-0.050483761
tool,41_50_16,before,0.107586,-0.050478664
tool,28_38_28,before,0.107543,-0.050475925
