sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,0.000103295,0.0660606,0.018839,0.000073,0.448375133
40-50-16,before,8.02E-05,0.0770366,0.014639,0.00005,0.448352281
40-50-16,before,7.14E-05,0.0448654,0.013709,0.000045,0.446292947
40-50-16,before,1.32E-05,0.0381843,0.001732,0.000002,0.443223624
40-50-16,before,9.67E-05,0.0542088,0.017298,0.000063,0.442637901
40-50-16,before,0.00021648,0.12563,0.036498,0.00019,0.437909256
40-50-16,before,5.16E-05,0.0883121,0.008423,0.000021,0.437015513
40-50-16,before,8.13E-05,0.0685803,0.014042,0.000045,0.435709302
40-50-16,before,0.000112086,0.0633848,0.019485,0.000073,0.433509835
40-50-16,before,0.000131866,0.062923,0.024538,0.000103,0.433048407
40-50-16,before,4.51E-05,0.0476961,0.007686,0.000018,0.432147576
40-50-16,before,8.79E-06,0.0309856,0.001147,0.000001,0.421619517
40-50-16,before,0.000276918,0.139628,0.043537,0.000232,0.419389559
40-50-16,before,0.000135162,0.104822,0.024932,0.0001,0.417888423
40-50-16,before,0.000149448,0.0864496,0.025503,0.000103,0.416662425
40-50-16,before,4.40E-05,0.0673621,0.007401,0.000016,0.414897077
40-50-16,before,2.42E-05,0.0351977,0.002966,0.000004,0.410852851
40-50-16,before,2.31E-05,0.0447564,0.003459,0.000005,0.408802521
40-50-16,before,0.000316478,0.132288,0.051387,0.000286,0.408515196
40-50-16,before,4.07E-05,0.0547817,0.006886,0.000014,0.407945797
40-50-16,before,5.60E-05,0.0704447,0.009606,0.000023,0.407155307
40-50-16,before,0.000103295,0.0693802,0.01744,0.000056,0.405878763
40-50-16,before,5.38E-05,0.0475242,0.008247,0.000018,0.402750851
40-50-16,before,0.000174722,0.0735205,0.030749,0.000129,0.401525318
40-50-16,before,0.000130767,0.0989147,0.024198,0.00009,0.401358987
40-50-16,before,0.000037362,0.0439673,0.00602,0.000011,0.397328231
40-50-16,before,6.59E-05,0.0819806,0.013325,0.000036,0.395687114
40-50-16,before,0.000217578,0.11634,0.037366,0.000168,0.394046102
40-50-16,before,8.24E-05,0.0545238,0.014723,0.00004,0.384173856
40-50-16,before,0.000251644,0.0981298,0.041565,0.000187,0.380467365
40-50-16,before,0.000064834,0.0763894,0.010355,0.000023,0.377704865
40-50-16,before,0.000171425,0.154845,0.031092,0.000119,0.376299325
40-50-16,before,0.000179118,0.0875698,0.029082,0.000107,0.374785148
40-50-16,before,0.000290105,0.090881,0.048839,0.000232,0.373860301
40-50-16,before,0.00022637,0.179166,0.037078,0.000151,0.369844464
40-50-16,before,0.000358235,0.107946,0.060578,0.000313,0.368014914
40-50-16,before,0.000113185,0.0575637,0.018357,0.000051,0.362295161
40-50-16,before,0.000238457,0.129215,0.041859,0.000172,0.357311977
